Turbine ID,Project Name,Facility,State,Coordinates,Address,Installed Capacity,Number of Units
110608,Alleghany High School Wind Project,Alleghany High School,NC,"36.5147¡, -81.1247¡",,0.0018 MW,1
30100001,Appalachian State University Beech Mountain 2,Appalachian State University,NC,"36.1875¡, -81.8672¡",,0.004 MW,2
103109,Appalachian State University Wind Project (Beech Mountain),Appalachian State University,NC,"36.1875¡, -81.8672¡",,0.002 MW,1
108442,Appanoose Elementary School Wind Project,Appanoose Elementary School,KS,"38.6939¡, -95.4597¡",,,1
30120012,Auburn-Washburn Wind Project,Auburn-Washburn,KS,"38.9569¡, -95.7583¡","5900 SW 61st St
5900 SW 61st St., Topeka",0.0021 MW,1
110607,Avery County High School Wind Project,Avery County High School,NC,"36.0683¡, -81.9181¡",,,1
108812,Bancroft-Rosalie Public Schools Wind Project,Bancroft-Rosalie Public Schools,NE,"42.0089¡, -96.5708¡",,,1
109328,Begich Middle School Wind Project,Begich Middle School Wind Project,AK,"61.2081¡, -149.7431¡","7440 Creekside Center Drive, Anchorage, AK 99504",0.0021 MW,1
110699,Bloomfield Public Schools Wind Project,Bloomfield Public Schools,NE,"42.5944¡, -97.6425¡",,,1
107678,Burlington High School Wind Project,Burlington High School,CO,"39.2967¡, -102.2714¡","1457 Martin Avenue, Burlington",0.0024 MW,1
120072,CAES Wind Project,CAES,ID,,,,1
100071,CUSD3 Fulton County,CUSD3 MHS,IL,"40.4794¡, -90.1881¡",20325 N IL 97 HWY,0.0021 MW,1
105272,Cedar Rapids Wind Project,Cedar Rapids,NE,"41.5622¡, -98.1481¡",,,1
120430,Central High School Wind Project,Central High School,VA,"38.8656¡, -78.5236¡",,,1
120342,Cherry Valley Elementary School Wind Project,Cherry Valley Elementary School,CO,"39.2278¡, -104.6981¡","9244 South Highway 83, Franktown",0.0024 MW,1
121057,Clover Hill High School Wind Project,Clover Hill High School,VA,"37.4478¡, -77.6403¡",,,1
108482,Concordia High School Wind Project,Concordia High School,KS,"39.5661¡, -97.6683¡",,,1
109822,Crawford Public Schools Wind Project,Crawford Public Schools,NE,"42.6794¡, -103.4061¡",,,1
110358,Creighton Public Schools Wind Project,Creighton Public Schools,NE,"42.4575¡, -97.9047¡",,,1
107550,Dakota Valley Wind Project,Dakota Valley,SD,"42.5483¡, -96.5247¡",,,1
120429,Dilcon Community School Inc Wind Project,Dilcon Community School Inc,AZ,"35.3706¡, -110.3294¡",,0.0024 MW,1
105282,Diller-Odell High School Wind Project,Diller-Odell High School,NE,"40.0544¡, -96.8064¡",,,1
105707,Elkhorn Valley Public Schools Wind Project,Elkhorn Valley Public Schools,NE,"42.0478¡, -97.8314¡",,,1
105957,Elkton Schools District Wind Project,Elkton Schools District,SD,"44.2300¡, -96.4822¡",,,1
100070,Elmwood CUSD,Elmwood CUSD #322,IL,"40.7811¡, -89.9700¡",301 W Butternut St,0.0024 MW,1
110802,Eudora High School Wind Project,Eudora High School,KS,"38.9228¡, -95.0978¡",,,1
109065,Ferndale High School Wind Project,Ferndale High School,WA,"48.8525¡, -122.5925¡",,,1
110752,First Flight,First Flight,NC,"36.0056¡, -75.6678¡",109 Veterans Dr,0.0021 MW,1
107675,Flagler Public School Wind Project,Flagler Public School,CO,"39.2944¡, -103.0725¡","421 Julian Avenue, Flagler",0.0024 MW,1
120255,Flinthills Tech College Wind Project,Flinthills Tech College,KS,"38.4192¡, -96.2236¡",,,1
120507,Florence High School Wind Project,Florence High School,CO,"38.4064¡, -105.1117¡",,0.0024 MW,1
106374,Gilpin County School Wind Project,Gilpin County School,CO,"39.8375¡, -105.4794¡","230 Norton Drive, Black Hawk",0.0024 MW,1
107212,Grand Ridge Elementary Wind Project,Grand Ridge Elementary,WA,"47.5458¡, -122.0058¡",,,1
120104,Grassfield High School Wind Project,Grassfield High School,VA,"36.7119¡, -76.3186¡",,,1
104173,Greenbush Kansas Wind Project,Greenbush Kansas,KS,"37.5142¡, -94.9878¡",,,1
120039,Hastings Public Schools Wind Project,Hastings Public Schools,NE,"40.6019¡, -98.3933¡",,,1
105283,Hayes Center Public Schools Wind Project,Hayes Center Public Schools,NE,"40.5106¡, -101.0156¡",,,1
121062,Henley Middle School Wind Project,Henley Middle School,VA,"38.0531¡, -78.7047¡",,,1
108853,Hope Street Academy Wind Project,Hope Street Academy,KS,"39.0317¡, -95.7336¡",,,1
107793,Hot Springs Elementary School,Hot Springs Elementary School,NC,"35.8922¡, -82.8322¡","63 N Serpentine Ave, Hot Springs, NC 28743",0.0021 MW,1
110475,Hyannis Wind Project,Hyannis,NE,"41.9986¡, -101.7517¡",,,1
110703,Illini Central CUSD,Illini Central CUSD 189,IL,"40.2042¡, -89.7092¡","208 N West Ave, Mason City, IL",0.0024 MW,1
110703,Illini Central CUSD 189 Wind Project,Illini Central CUSD 189,IL,"40.2042¡, -89.7092¡",,0.0024 MW,1
110878,JP Knapp,JP Knapp,NC,"36.4447¡, -76.0156¡",2966 Caratoke Hwy,0.0021 MW,1
120014,James Buchanan High School Wind Turbine,James Buchanan High School,PA,"39.8553¡, -77.9003¡",,0.024 MW,1
110799,Jefferson West High School Wind Project,Jefferson West High School,KS,"39.1933¡, -95.5606¡",,,1
105199,Jerome Middle School Wind Project,Jerome Middle School,ID,"42.7272¡, -114.5192¡",,,1
105605,Juneau School District Wind Project,Juneau School District,AK,"58.2994¡, -134.4133¡",,,1
101029,KDOT Grainfield Wind Project,KDOT Grainfield,KS,"39.1100¡, -100.4681¡",,,1
105071,KDOT Osborne Wind Project,KDOT Osborne,KS,"39.4561¡, -98.6956¡",,,1
101193,Kansas State University Wind Project,Kansas State University,KS,"39.2047¡, -96.5839¡",2000 Denison Ave,0.0021 MW,1
120268,Kimball Public Schools Wind Project,,NE,"41.2272¡, -103.6553¡","901 S Nadine St
Kimball, NE 69145",,1
101255,Kit Carson Wind Project,Kit Carson,CO,"38.7669¡, -102.7914¡","102 W 5th Avenue, Kit Carson",0.0024 MW,1
105610,Kodiak Island Borough School District,Kodiak Island Borough School District,AK,"57.7939¡, -152.3936¡",722 Mill Bay Rd.,,
111239,Laurel-Concord-Coleridge School Wind Project,Laurel-Concord High School,NE,"42.4256¡, -97.0950¡","502 Wakefield st. Laurel, Nebraska 68745",0.0021 MW,1
120307,Leupp Schools Inc Wind Project 1,Leupp Schools Inc,AZ,"35.2972¡, -111.0083¡",,0.0024 MW,1
120308,Leupp Schools Inc Wind Project 2,Leupp Schools Inc,AZ,"35.2972¡, -111.0089¡",,0.0024 MW,1
120309,Leupp Schools Inc Wind Project 3,Leupp Schools Inc,AZ,"35.2972¡, -111.0094¡",,0.0024 MW,1
108598,Lewistown High Schools Wind Project,Lewistown High Schools,MT,"47.0542¡, -109.4233¡",,,1
120412,Little Singer Community School Wind Project,Little Singer Community School,AZ,"35.2447¡, -110.7350¡",,0.0024 MW,1
109774,Logan View Public Schools Wind Project,Logan View Public Schools,NE,"41.6517¡, -96.5044¡",,,1
101374,Loup City High School Wind Project,Loup City High School,NE,"41.2839¡, -98.9675¡",,,1
110746,Lumpkin County High School,Lumpkin County High School,GA,"34.5550¡, -84.0014¡","2001 Indian Dr, Dahlonega, GA",0.0021 MW,1
109825,Luray High School Wind Project,Luray High School,VA,"38.6547¡, -78.4881¡",,,1
107090,Madison High School,Madison High School,NC,"35.8139¡, -82.6758¡","5740 US-25 Marshall, NC 28753",0.0021 MW,1
107313,Madison Middle School,Madison Middle School,NC,"35.8397¡, -82.7147¡","95 Upper Brush Creek , Marshall, NC 28753",0.0021 MW,1
108874,McKenna Charter School Wind Project,McKenna Charter School,ID,"43.1256¡, -115.7039¡",,,1
110578,Mead Highschool Wind Project,Mead Highschool,CO,"40.1853¡, -104.9969¡","12750 Co Rd 7, Longmont",,1
108222,Memorial Middle School Wind Project,Memorial Middle School,SD,"43.5328¡, -96.8189¡",,,1
120079,Meridian Public Schools Wind Project,Meridian Public Schools,NE,"40.3178¡, -97.3294¡",,,1
120413,Mesa County Valley Wind Project,Mesa County Valley Career Center,CO,"39.0769¡, -108.5086¡","2935 North Avenue, Grand Junction",0.0024 MW,1
109537,Miller Schools Wind Project,Miller Schools,SD,"44.5211¡, -98.9800¡",,,1
105113,Montana State University Wind Project,Montana State University,MT,"45.6628¡, -111.0442¡",,,1
30120043,Mount Nittany Elementary School Wind Turbine,Mount Nittany Elementary School,PA,"40.7853¡, -77.8056¡","656 Brandywine Dr, State College, PA 16801",0.0021 MW,
105611,Mt. Edgecumbe High School Wind Project,Mt. Edgecumbe High School,AK,"57.0539¡, -135.3569¡",,,1
109757,Mullen High School Wind Project,Mullen High School,NE,"42.0458¡, -101.0461¡",,,1
30120078,N.A.T.I.V.E. District Kayenta Wind Project 1,N.A.T.I.V.E. District - Kayenta,AZ,"36.7219¡, -110.2447¡",,0.0024 MW,1
30120077,N.A.T.I.V.E. District Kayenta Wind Project 2,N.A.T.I.V.E. District - Kayenta,AZ,"36.7219¡, -110.2450¡",,0.0024 MW,1
30120079,N.A.T.I.V.E. District Kayenta Wind Project 3,N.A.T.I.V.E. District - Kayenta,AZ,"36.7217¡, -110.2447¡",,0.0024 MW,1
104564,NACET Wind Project 1,Northern Arizona Center For Entrepreneurship and Technology,AZ,"35.2144¡, -111.6336¡",,0.0024 MW,1
104557,NACET Wind Project 2,Northern Arizona Center For Entrepreneurship and Technology,AZ,"35.2144¡, -111.6339¡",,0.0024 MW,1
102616,NREL Wind Project,National Renewable Energy Laboratory,CO,"39.9272¡, -105.2306¡",,0.0021 MW,1
10101193,NWTC Campus Wind Project,NWTC Campus,CO,,18200 Colorado 128,0.0024 MW,1
110750,Nederland High School Wind Project,Nederland Middle/Senior High School,CO,"39.9536¡, -105.5250¡","597 County Highway 130, Nederland",0.0024 MW,1
120063,Norfolk Public Schools Wind Project,Norfolk Public Schools,NE,"42.0433¡, -97.4144¡",,,1
109308,Norris Public Schools Wind Project,Norris Public Schools,NE,"40.5644¡, -96.6336¡",,,1
110748,North Habersham Middle School,North Habersham Middle School,GA,"34.6364¡, -83.5106¡","1500 Wall Bridge Road, Clarkesville, GA",0.0021 MW,1
110757,North Wilkes Middle and High School Wind Project,North Wilkes Middle and High School,NC,"36.2611¡, -81.1486¡",,,1
110584,Northern Arizona University ARD Wind Project,Northern Arizona University,AZ,"35.1847¡, -111.6586¡",,0.0024 MW,1
121022,Northern Arizona University SHRM Wind Project,Northern Arizona University,AZ,"35.1889¡, -111.6539¡",,0.0024 MW,1
108640,Northumberland Schools Wind Project,Northumberland Schools,VA,"37.9175¡, -76.4736¡",,,1
120337,Northwestern High School Wind Project,Northwestern High School,PA,"41.8872¡, -80.3533¡",,0.0021 MW,1
121023,Nueces Electric Cooperative,Nueces Electric Cooperative,TX,"27.8472¡, -97.6508¡",14353 Cooperative Ave,,1
120985,Orme School Wind Project,Orme School,AZ,"34.4303¡, -112.0731¡",,0.0024 MW,1
100181,Oshkosh Public Schools Wind Project,Oshkosh Public Schools,NE,"41.4036¡, -102.3506¡",,,1
108639,Papillion-LaVista South High School Wind Project,Papillion-LaVista South High School,NE,"41.1467¡, -96.0792¡",,,1
110683,Park County RE2 Wind Project,Park County School District,CO,"39.2311¡, -105.9947¡",,0.0024 MW,1
109725,Penn State HyRES Laboratory Wind Turbine,Penn State,PA,"40.8106¡, -77.8489¡",,0.024 MW,1
109846,Pleasanton Public Schools Wind Project,Pleasanton Public Schools,NE,"40.9697¡, -99.0903¡",,,1
106739,Pocatello Community Charter School Wind Project,Pocatello Community Charter School,ID,"42.8542¡, -112.4433¡",,,1
109112,Ponderosa High School Wind Project,Ponderosa High School,CO,"39.4364¡, -104.7561¡","7007 Bayou Gulch Road, Parker",0.0024 MW,1
106934,Pretty Prairie High School Wind Project,Pretty Prairie High School,KS,"37.7808¡, -98.0178¡",,,1
30120057,Rankin CSD 98,Rankin Elementary School,IL,"40.5603¡, -89.6458¡",13716 S. 5th St.,0.0024 MW,1
120441,Ridgeview High School,Ridgeview High School,VA,"37.1350¡, -82.3917¡",310 Wolfpack Way,,1
108885,Rigby East Wind Project,Rigby East,ID,"43.6675¡, -111.9403¡",,,1
108877,Rigby West Wind Project,Rigby West,ID,"43.6706¡, -111.9672¡",,,1
120259,STAR School Wind Project 1,STAR School,AZ,"35.3053¡, -111.2978¡",,0.0024 MW,1
120289,STAR School Wind Project 2,STAR School,AZ,"35.3053¡, -111.2978¡",,0.0024 MW,1
120288,STAR School Wind Project 3,STAR School,AZ,"35.3053¡, -111.2978¡",,0.0024 MW,1
103778,Santa Fe Trail High School Wind Project,Santa Fe Trail High School,KS,"38.7806¡, -95.6517¡",15701 S California Rd,0.0021 MW,1
105772,Scranton High School,Scranton High School,PA,"41.4189¡, -75.6667¡","63 Mike Munchak Way, Scranton, PA 18508",0.0021 MW,1
106738,Shawnee Mission West Wind Project,Shawnee Mission West High School,KS,"38.9769¡, -94.6875¡",8800 W 85th St,0.0021 MW,1
107718,Shelley High School Wind Project,Shelley High School,ID,"43.3728¡, -112.1342¡",,,1
106980,Sherrod Elementary Wind Project,Sherrod Elementary,AK,"61.6481¡, -149.1503¡",,,1
103853,Skyline High School Wind Project,Skyline High School,ID,"43.4867¡, -112.0656¡",,,1
108828,Smoky Valley Wind Project,Smoky Valley,KS,"38.5789¡, -97.6836¡",,,1
109612,Southeast Community College Wind Project,Southeast Community College,NE,"40.8147¡, -96.6003¡",,,1
108191,Southeastern Regional Vocational Technical High School,Southeastern Regional Vocational Technical High School,MA,"42.0081¡, -71.0822¡","250 Foundry Street, South Easton, MA 02375",0.002 MW,1
106316,Spotsylvania Career and Tech Center Wind Project,Spotsylvania Career and Tech Center,VA,"38.2308¡, -77.5564¡",,,1
110764,St. Michael Indian School Wind Project,St. Michael Indian School,AZ,"35.6472¡, -109.0975¡",,0.0024 MW,1
107674,Stratton Middle and High School Wind Project,Stratton Middle and High School,CO,"39.3042¡, -102.5997¡","219 Illinois Avenue, Stratton",0.0024 MW,1
110801,Superior Public Schools Wind Project,Superior Public Schools,NE,"40.0222¡, -98.0786¡",,,1
120341,Thomas Harrison Middle School Wind Project,Thomas Harrison Middle School,VA,"38.4528¡, -78.8908¡",,0.0024 MW,1
108780,Thomas Middle School Wind Project,Thomas Middle School,IL,"42.1022¡, -87.9783¡",,,1
108855,Townsend School District Wind Project,Townsend School District,MT,"46.3217¡, -111.5211¡",,,1
101339,UAA Mat-Su College,UAA Mat-Su College,AK,"61.5806¡, -149.2503¡",8295 East College Dr.,0.0024 MW,1
107270,USD 307 Ell-Saline Wind Project,USD 307 Ell-Saline,KS,"38.7719¡, -97.8614¡",,,1
110497,USD 345 Seaman High School Wind Project,USD 345 Seaman High School,KS,"39.1353¡, -95.6700¡",,,1
101169,USD 373 Walton Rural Life Wind Project,USD 373 Walton Rural Life,KS,"38.1183¡, -97.2606¡",,,1
109853,USD 375 Circle High School Wind Project,USD 375 Circle High School,KS,"37.7947¡, -96.9944¡",,,1
101053,USD 376 Sterling High School Wind Project,USD 376 Sterling High School,KS,"38.2167¡, -98.2025¡",,,1
106747,USD 384 Blue Valley Wind Project,USD 384 Blue Valley,KS,"39.4336¡, -96.7581¡",,,1
109555,USD 393 Solomon High School Wind Project,USD 393 Solomon High School,KS,"38.9242¡, -97.3694¡",,,1
30120019,USD 403 Wind Project,USD 403 Otis-Bison,KS,"38.5381¡, -99.0550¡",301 W. Eagle St.,,1
110808,USD 440 Halstead Schools Wind Project,USD 440 Halstead Schools,KS,"37.9983¡, -97.5103¡",,,1
107676,Walsh High School Wind Project,Walsh High School,CO,"37.3856¡, -102.2844¡","301 N California, Walsh",0.0024 MW,1
110700,Watauga High School Wind Project,Watauga High School,NC,"36.1992¡, -81.6747¡",,,1
107155,Wellington Middle School Wind Project,Wellington Middle School,CO,"40.7083¡, -105.0006¡",,0.0024 MW,1
109535,Wessington Springs Wind Project,Wessington Springs,SD,"44.0819¡, -98.5597¡",,,1
110457,West Holt Wind Project,West Holt,NE,"42.5411¡, -98.9786¡",,,1
120256,Western Illinois University Wind Project,Western Illinois University,IL,"40.4850¡, -90.6914¡",1215 Tower Rd,0.0024 MW,1
110697,Williams Elementary and Middle School Wind Project,Williams Elementary and Middle School,AZ,"35.2533¡, -112.1975¡",,0.0024 MW,1
101280,Yankton School District Wind Project,Yankton School District,SD,"42.8969¡, -97.4158¡",,,1